source,target,experimental_score
Acox1,Hsd17b4,0.328
Acox1,Pex14,0.323
Acox1,Pex5,0.059
Acox2,Pex5,0.059
Acp1,Ctnnb1,0.457
Acp1,Zap70,0.198
Acpp,Apoa1,0.222
Acpp,Baz1b,0.327
Acpp,Pappa,0.368
Acsbg1,Ahsa1,0.222
Acsbg1,App,0.222
Acsbg1,Ewsr1,0.222
Acsbg1,Gsk3b,0.222
Acsf2,Pmpcb,0.239
Acsl1,Acaa1a,0.323
Acsl1,Acot8,0.328
Acsl1,Acsl5,0.318
Acsl1,Acsl6,0.318
Acsl1,Bcap31,0.345
Acsl1,Cyb5r3,0.345
Acsl1,Cyp2d10,0.345
Acsl1,Cyp3a11,0.345
Acsl1,Ephx1,0.345
Acsl1,Fmo5,0.345
Acsl1,Hsd11b1,0.345
Acsl1,Pgrmc1,0.345
Acsl4,Eed,0.292
Acsl4,Foxp3,0.292
Acsl5,Acsl1,0.318
Acsl6,Acsl1,0.318
Acsl6,Atp6v1a,0.164
Acsl6,Phyh,0.292
Acta1,4933400A11Rik,0.123
Acta1,Ablim2,0.222
Acta1,Actg1,0.242
Acta1,Actl6a,0.156
Acta1,Actn2,0.237
Acta1,Actr10,0.301
Acta1,Actr1b,0.284
Acta1,Actr2,0.202
Acta1,Actr8,0.205
Acta1,Adss,0.222
Acta1,Anxa4,0.13
Acta1,Calm4,0.114
Acta1,Calm5,0.114
Acta1,Cap1,0.168
Acta1,Cap2,0.135
Acta1,Capza1,0.123
Acta1,Capzb,0.15
Acta1,Cfl1,0.197
Acta1,Coro2b,0.222
Acta1,Cotl1,0.238
Acta1,Cyfip1,0.208
Acta1,Dhx9,0.218
Acta1,Dmap1,0.141
Acta1,Dstn,0.121
Acta1,Eef1a2,0.206
Acta1,Eno3,0.207
Acta1,Epc1,0.122
Acta1,Epc2,0.122
Acta1,Ezr,0.13
Acta1,Fbxo32,0.292
Acta1,Flna,0.15
Acta1,Gsn,0.203
Acta1,Hip1r,0.457
Acta1,Hmga2,0.292
Acta1,Hspa1l,0.13
Acta1,Htra2,0.222
Acta1,Ipp,0.292
Acta1,Itpka,0.222
Acta1,Itpr1,0.207
Acta1,Kcnma1,0.292
Acta1,Klhl40,0.292
Acta1,Lcp1,0.238
Acta1,Mark4,0.207
Acta1,Myl1,0.813
Acta1,Myo15,0.9
Acta1,Myo1b,0.864
Acta1,Myo5a,0.121
Acta1,Myo5b,0.121
Acta1,Myo5c,0.121
Acta1,Nexn,0.222
Acta1,Pfn1,0.059
Acta1,Pfn4,0.045
Acta1,Pgam2,0.31
Acta1,Phactr1,0.164
Acta1,Pls1,0.125
Acta1,Pls3,0.15
Acta1,Ppp1r9b,0.457
Acta1,Prkn,0.292
Acta1,Pygm,0.222
Acta1,Ruvbl1,0.123
Acta1,Ruvbl2,0.104
Acta1,Smarcb1,0.138
Acta1,Smarcc1,0.108
Acta1,Smarcc2,0.108
Acta1,Smarcd1,0.12
Acta1,Smarce1,0.126
Acta1,Snca,0.292
Acta1,Tnni3,0.15
Acta1,Tpm1,0.902
Acta1,Tpm2,0.238
Acta1,Tpt1,0.217
Acta1,Trim63,0.292
Acta1,Trrap,0.123
Acta1,Twf1,0.15
Acta1,Utrn,0.15
Acta1,Vasp,0.15
Acta1,Vcl,0.15
Acta1,Wdr1,0.076
Acta1,Wipf1,0.15
Acta2,4933400A11Rik,0.123
Acta2,Actg2,0.114
Acta2,Actr2,0.202
Acta2,Actr8,0.205
Acta2,Cap1,0.168
Acta2,Cap2,0.135
Acta2,Capza1,0.123
Acta2,Capzb,0.15
Acta2,Casp3,0.292
Acta2,Casp7,0.292
Acta2,Cfl1,0.197
Acta2,Dctn1,0.148
Acta2,Dctn3,0.107
Acta2,Dmap1,0.141
Acta2,Dstn,0.121
Acta2,Epc1,0.122
Acta2,Epc2,0.122
Acta2,Gsn,0.203
Acta2,Lasp1,0.287
Acta2,Lcp1,0.238
Acta2,Lmod1,0.15
Acta2,Myl1,0.101
Acta2,Myo10,0.15
Acta2,Myo1b,0.15
Acta2,Myo5a,0.121
Acta2,Myo5b,0.121
Acta2,Myo5c,0.121
Acta2,Nphp4,0.292
Acta2,Pdlim5,0.292
Acta2,Pfn4,0.045
Acta2,Pls1,0.125
Acta2,Pls3,0.15
Acta2,Ruvbl1,0.123
Acta2,Ruvbl2,0.104
Acta2,Tpm1,0.061
Acta2,Tpm2,0.061
Acta2,Tpm3,0.061
Acta2,Tpm4,0.061
Acta2,Trrap,0.123
Acta2,Twf1,0.15
Acta2,Twf2,0.075
Acta2,Vcl,0.15
Acta2,Was,0.15
Acta2,Wdr1,0.076
Acta2,Wipf1,0.15
Actb,Actl6a,0.307
Actb,Actl6b,0.156
Actb,Actn1,0.054
Actb,Actn4,0.23
Actb,Actr10,0.91
Actb,Actr1a,0.908
Actb,Actr2,0.351
Actb,Actr3,0.299
Actb,Actr3b,0.143
Actb,Actr8,0.205
Actb,Ago2,0.222
Actb,Ahi1,0.292
Actb,Anxa4,0.13
Actb,Api5,0.213
Actb,Arid1a,0.24
Actb,Arid1b,0.045
Actb,Arid2,0.059
Actb,Arpc2,0.123
Actb,Atp6v1a,0.33
Actb,Banf1,0.214
Actb,Brd7,0.121
Actb,Brd9,0.075
Actb,Camk2d,0.292
Actb,Cap2,0.135
Actb,Capzb,0.287
Actb,Carm1,0.213
Actb,Cav1,0.186
Actb,Cct3,0.121
Actb,Cct4,0.231
Actb,Cct8,0.232
Actb,Cdc37,0.222
Actb,Cdk9,0.292
Actb,Cfl1,0.415
Actb,Cnn3,0.213
Actb,Cotl1,0.443
Actb,Cpne1,0.209
Actb,Cxadr,0.37
Actb,Cyfip1,0.33
Actb,Dctn1,0.148
Actb,Dctn2,0.817
Actb,Dctn4,0.91
Actb,Ddx3y,0.166
Actb,Ddx6,0.221
Actb,Dmap1,0.269
Actb,Dmd,0.048
Actb,Dmrt2,0.292
Actb,Dnm1,0.217
Actb,Dpy30,0.216
Actb,Dstn,0.273
Actb,Eed,0.292
Actb,Eef1a1,0.163
Actb,Eif4e,0.166
Actb,Elavl1,0.166
Actb,Emd,0.219
Actb,Ep400,0.124
Actb,Epc1,0.122
Actb,Epc2,0.122
Actb,Espn,0.191
Actb,Fbxo32,0.292
Actb,Flnb,0.166
Actb,Fmnl2,0.043
Actb,Fmnl3,0.043
Actb,Fmr1,0.237
Actb,G3bp1,0.218
Actb,Grin1,0.248
Actb,H3c1,0.057
Actb,H3c10,0.057
Actb,H3c11,0.057
Actb,H3f3b,0.304
Actb,Hdgf,0.222
Actb,Hnrnpab,0.22
Actb,Hnrnpd,0.221
Actb,Hnrnpk,0.166
Actb,Hnrnpl,0.22
Actb,Hsp90ab1,0.164
Actb,Hspa4,0.216
Actb,Hspa8,0.161
Actb,Igf2bp1,0.292
Actb,Ilf2,0.166
Actb,Ilf3,0.306
Actb,Ing3,0.065
Actb,Invs,0.292
Actb,Ipo9,0.292
Actb,Iqcb1,0.316
Actb,Kat5,0.198
Actb,Kcnma1,0.292
Actb,Khdrbs1,0.166
Actb,Khsrp,0.166
Actb,Lasp1,0.222
Actb,Lcp1,0.147
Actb,Lrrk2,0.457
Actb,Lsm2,0.22
Actb,Marcksl1,0.222
Actb,Matr3,0.166
Actb,Meaf6,0.118
Actb,Micall2,0.292
Actb,Mks1,0.292
Actb,Mme,0.287
Actb,Mrtfa,0.055
Actb,Mybpc3,0.115
Actb,Myo5a,0.121
Actb,Myo5b,0.121
Actb,Myo5c,0.121
Actb,Ncbp1,0.221
Actb,Nckap1,0.218
Actb,Nckipsd,0.124
Actb,Ncl,0.192
Actb,Nono,0.213
Actb,Nphp1,0.292
Actb,Nphp4,0.292
Actb,Npm1,0.222
Actb,Nr4a1,0.292
Actb,Pabpn1,0.216
Actb,Patj,0.292
Actb,Pbrm1,0.132
Actb,Pcbp1,0.361
Actb,Pcbp2,0.166
Actb,Pfn4,0.045
Actb,Pgk2,0.214
Actb,Phactr4,0.207
Actb,Phf10,0.119
Actb,Pi4ka,0.207
Actb,Pknox1,0.292
Actb,Plekhh2,0.23
Actb,Pls1,0.206
Actb,Pls3,0.416
Actb,Poldip3,0.166
Actb,Polr2a,0.292
Actb,Ppia,0.215
Actb,Prkn,0.292
Actb,Prom1,0.292
Actb,Psma1,0.166
Actb,Psmc2,0.164
Actb,Rac1,0.222
Actb,Rack1,0.166
Actb,Rnf2,0.292
Actb,Ro60,0.221
Actb,Rock2,0.221
Actb,Rpgrip1l,0.292
Actb,Rpl22,0.164
Actb,Rpl7,0.163
Actb,Rpl7a,0.164
Actb,Rplp0,0.166
Actb,Rplp2,0.163
Actb,Rps27a,0.178
Actb,Rps6ka1,0.292
Actb,Ruvbl1,0.123
Actb,Ruvbl2,0.104
Actb,Set,0.292
Actb,Slc25a3,0.212
Actb,Smarca2,0.124
Actb,Smarca4,0.124
Actb,Smarcb1,0.138
Actb,Smarcc1,0.108
Actb,Smarcc2,0.108
Actb,Smarcd1,0.12
Actb,Smarcd2,0.109
Actb,Smarcd3,0.109
Actb,Smarce1,0.126
Actb,Ssb,0.219
Actb,Stau1,0.166
Actb,Sult2b1,0.292
Actb,Syn1,0.218
Actb,Syn2,0.213
Actb,Synpo,0.052
Actb,Tcp1,0.272
Actb,Tjp1,0.216
Actb,Tpm4,0.183
Actb,Tpt1,0.377
Actb,Traf6,0.164
Actb,Trpm7,0.292
Actb,Trrap,0.123
Actb,Tuba1a,0.217
Actb,Tubb4a,0.042
Actb,Tubb5,0.222
Actb,Twf1,0.075
Actb,Twf2,0.075
Actb,Ube2i,0.248
Actb,Unk,0.292
Actb,Vcl,0.059
Actb,Vps72,0.075
Actb,Wdr1,0.076
Actb,Wipf1,0.061
Actb,Ybx1,0.26
Actb,Yeats4,0.058
Actb,Ywhab,0.166
Actb,Ywhae,0.166
Actb,Ywhaq,0.222
Actbl2,Cap1,0.298
Actbl2,Cap2,0.135
Actbl2,Eed,0.292
Actbl2,Fbxo32,0.292
Actbl2,Lrrk2,0.292
Actbl2,Myo5a,0.121
Actbl2,Myo5b,0.121
Actbl2,Myo5c,0.121
Actbl2,Pxk,0.222
Actbl2,Ripor1,0.222
Actbl2,Rnf2,0.292
Actbl2,Smarcd1,0.12
Actbl2,Twf2,0.075
Actbl2,Vcl,0.059
Actbl2,Yeats4,0.058
Actc1,4933400A11Rik,0.123
Actc1,Actl6a,0.156
Actc1,Actr10,0.138
Actc1,Actr8,0.205
Actc1,Cap1,0.168
Actc1,Cap2,0.135
Actc1,Capza1,0.123
Actc1,Capzb,0.15
Actc1,Cfl1,0.197
Actc1,Dctn1,0.148
Actc1,Dctn2,0.123
Actc1,Dctn3,0.107
Actc1,Dctn4,0.135
Actc1,Dmap1,0.141
Actc1,Dmrt2,0.292
Actc1,Dstn,0.121
Actc1,Eed,0.292
Actc1,Epc1,0.122
Actc1,Epc2,0.122
Actc1,Flna,0.15
Actc1,Grin1,0.227
Actc1,Grin2b,0.227
Actc1,Gsn,0.203
Actc1,Lcp1,0.238
Actc1,Mapt,0.292
Actc1,Mybpc3,0.32
Actc1,Myl1,0.101
Actc1,Myo10,0.15
Actc1,Myo1b,0.15
Actc1,Myo5a,0.121
Actc1,Myo5b,0.121
Actc1,Myo5c,0.121
Actc1,Nphp4,0.292
Actc1,Pfn4,0.045
Actc1,Pls1,0.125
Actc1,Pls3,0.15
Actc1,Prkce,0.164
Actc1,Ruvbl1,0.123
Actc1,Ruvbl2,0.104
Actc1,Smarcb1,0.138
Actc1,Smarcc1,0.108
Actc1,Smarcc2,0.108
Actc1,Smarcd1,0.12
Actc1,Smarcd2,0.109
Actc1,Smarce1,0.126
Actc1,Tnnc1,0.15
Actc1,Tpm1,0.061
Actc1,Tpm2,0.061
Actc1,Tpm3,0.061
Actc1,Trrap,0.123
Actc1,Twf1,0.15
Actc1,Twf2,0.075
Actc1,Utrn,0.15
Actc1,Vcl,0.15
Actc1,Was,0.15
Actc1,Wdr1,0.076
Actc1,Wipf1,0.15
Actg1,Acta1,0.242
Actg1,Actb,0.222
Actg1,Actl6a,0.315
Actg1,Actl6b,0.156
Actg1,Actn1,0.054
Actg1,Actn4,0.054
Actg1,Actr1a,0.117
Actg1,Actr2,0.202
Actg1,Actr3,0.143
Actg1,Actr3b,0.143
Actg1,Actr5,0.057
Actg1,Actr8,0.205
Actg1,Anxa4,0.13
Actg1,Arf3,0.214
Actg1,Arid1a,0.074
Actg1,Arid1b,0.045
Actg1,Arid2,0.059
Actg1,Cap1,0.287
Actg1,Cap2,0.135
Actg1,Capzb,0.128
Actg1,Ccdc22,0.207
Actg1,Cct3,0.121
Actg1,Cfl1,0.121
Actg1,Cfl2,0.301
Actg1,Cltc,0.213
Actg1,Cotl1,0.462
Actg1,Dctn1,0.148
Actg1,Dctn2,0.123
Actg1,Dmap1,0.141
Actg1,Dstn,0.361
Actg1,Eed,0.457
Actg1,Eef1a1,0.22
Actg1,Eif5a2,0.21
Actg1,Ep400,0.353
Actg1,Epc1,0.122
Actg1,Epc2,0.122
Actg1,Eps8l2,0.222
Actg1,Fbxo32,0.292
Actg1,Flna,0.232
Actg1,Fmnl2,0.043
Actg1,Fmnl3,0.043
Actg1,Gsn,0.059
Actg1,Hspa8,0.22
Actg1,Ino80c,0.058
Actg1,Invs,0.292
Actg1,Iqcb1,0.316
Actg1,Kat5,0.198
Actg1,Kcnma1,0.292
Actg1,Lcp1,0.147
Actg1,Lrrk2,0.292
Actg1,Mks1,0.292
Actg1,Mrtfa,0.055
Actg1,Myo18b,0.074
Actg1,Myo1a,0.075
Actg1,Myo1c,0.075
Actg1,Myo5a,0.121
Actg1,Myo5b,0.121
Actg1,Myo5c,0.121
Actg1,Myo6,0.119
Actg1,Nckap1,0.211
Actg1,Nckipsd,0.124
Actg1,Nphp1,0.292
Actg1,Nphp4,0.292
Actg1,P4hb,0.13
Actg1,Pdpk1,0.164
Actg1,Pfn4,0.045
Actg1,Pgk2,0.299
Actg1,Pls1,0.125
Actg1,Pls3,0.125
Actg1,Ppp1ca,0.142
Actg1,Rnf123,0.292
Actg1,Rnf2,0.292
Actg1,Rps27a,0.232
Actg1,Rps4x,0.192
Actg1,Ruvbl1,0.123
Actg1,Ruvbl2,0.262
Actg1,Smarca2,0.353
Actg1,Smarca4,0.353
Actg1,Smarcb1,0.138
Actg1,Smarcc1,0.108
Actg1,Smarcc2,0.108
Actg1,Smarcd1,0.12
Actg1,Smarcd2,0.109
Actg1,Smarcd3,0.109
Actg1,Smarce1,0.126
Actg1,Sult2b1,0.292
Actg1,Synpo,0.052
Actg1,Tpi1,0.304
Actg1,Tpt1,0.225
Actg1,Trrap,0.123
Actg1,Twf1,0.075
Actg1,Twf2,0.075
Actg1,Uchl5,0.218
Actg1,Vasp,0.059
Actg1,Vcl,0.059
Actg1,Vcp,0.219
Actg1,Vil1,0.13
Actg1,Wdr1,0.076
Actg1,Wipf1,0.061
Actg2,Acta2,0.114
Actg2,Actr2,0.202
Actg2,Actr8,0.205
Actg2,Cap1,0.135
Actg2,Cap2,0.135
Actg2,Capzb,0.128
Actg2,Dmap1,0.141
Actg2,Dstn,0.121
Actg2,Epc1,0.122
Actg2,Epc2,0.122
Actg2,Kat5,0.198
Actg2,Lcp1,0.147
Actg2,Lmod1,0.059
Actg2,Myo5a,0.121
Actg2,Myo5b,0.121
Actg2,Myo5c,0.121
Actg2,Pfn4,0.045
Actg2,Plec,0.292
Actg2,Pls1,0.125
Actg2,Pls3,0.125
Actg2,Ruvbl1,0.123
Actg2,Ruvbl2,0.104
Actg2,Tpm1,0.061
Actg2,Tpm2,0.061
Actg2,Tpm3,0.061
Actg2,Tpm4,0.061
Actg2,Trrap,0.123
Actg2,Twf1,0.075
Actg2,Vcl,0.059
Actg2,Wdr1,0.076
Actl6a,Acta1,0.156
Actl6a,Actb,0.307
Actl6a,Actc1,0.156
Actl6a,Actg1,0.315
Actl6a,Actr5,0.213
Actl6a,Actr6,0.047
Actl6a,Actr8,0.47
Actl6a,Arhgdia,0.222
Actl6a,Arid1a,0.582
Actl6a,Arid1b,0.201
Actl6a,Arid2,0.349
Actl6a,Arid4b,0.511
Actl6a,Banf1,0.222
Actl6a,Baz1b,0.329
Actl6a,Bcl7a,0.086
Actl6a,Bcl7c,0.077
Actl6a,Brd7,0.385
Actl6a,Brd9,0.21
Actl6a,Chaf1a,0.292
Actl6a,Dmap1,0.516
Actl6a,Dpf2,0.123
Actl6a,Dpf3,0.115
Actl6a,Ep400,0.523
Actl6a,Epc1,0.356
Actl6a,Epc2,0.356
Actl6a,H4c1,0.153
Actl6a,H4c11,0.153
Actl6a,H4c12,0.153
Actl6a,H4c14,0.153
Actl6a,H4c2,0.153
Actl6a,H4c3,0.153
Actl6a,H4c4,0.153
Actl6a,H4c6,0.153
Actl6a,H4c8,0.153
Actl6a,H4c9,0.153
Actl6a,H4f16,0.153
Actl6a,Ing2,0.253
Actl6a,Ing3,0.253
Actl6a,Ino80,0.156
Actl6a,Ino80c,0.228
Actl6a,Kat5,0.317
Actl6a,Kat8,0.197
Actl6a,Max,0.184
Actl6a,Meaf6,0.381
Actl6a,Mllt1,0.123
Actl6a,Morf4l1,0.148
Actl6a,Morf4l2,0.148
Actl6a,Mrgbp,0.122
Actl6a,Pbrm1,0.41
Actl6a,Phf10,0.414
Actl6a,Pou5f1,0.457
Actl6a,Rnf2,0.292
Actl6a,Ruvbl2,0.448
Actl6a,Sall4,0.292
Actl6a,Smarca2,0.639
Actl6a,Smarca4,0.734
Actl6a,Smarcb1,0.473
Actl6a,Smarcc1,0.489
Actl6a,Smarcc2,0.578
Actl6a,Smarcd1,0.421
Actl6a,Smarcd2,0.317
Actl6a,Smarcd3,0.317
Actl6a,Smarce1,0.439
Actl6a,Sox2,0.292
Actl6a,Srcap,0.354
Actl6a,Ss18,0.123
Actl6a,Tfcp2l1,0.292
Actl6a,Tfpt,0.053
Actl6a,Trrap,0.406
Actl6a,Uchl5,0.209
Actl6a,Vps72,0.239
Actl6a,Yeats4,0.208
Actl6a,Znhit1,0.207
Actl6b,Actb,0.156
Actl6b,Actg1,0.156
Actl6b,Arid1a,0.201
Actl6b,Arid1b,0.201
Actl6b,Arid2,0.248
Actl6b,Bcl7a,0.057
Actl6b,Bcl7c,0.058
Actl6b,Brd7,0.313
Actl6b,Brd9,0.21
Actl6b,Dmap1,0.431
Actl6b,Dpf2,0.102
Actl6b,Dpf3,0.074
Actl6b,Ep400,0.354
Actl6b,H4c1,0.153
Actl6b,H4c11,0.153
Actl6b,H4c12,0.153
Actl6b,H4c14,0.153
Actl6b,H4c2,0.153
Actl6b,H4c3,0.153
Actl6b,H4c4,0.153
Actl6b,H4c6,0.153
Actl6b,H4c8,0.153
Actl6b,H4c9,0.153
Actl6b,H4f16,0.153
Actl6b,Kat5,0.197
Actl6b,Pbrm1,0.41
Actl6b,Phf10,0.377
Actl6b,Ruvbl1,0.299
Actl6b,Ruvbl2,0.232
Actl6b,Smarca2,0.5
Actl6b,Smarca4,0.5
Actl6b,Smarcb1,0.454
Actl6b,Smarcc1,0.308
Actl6b,Smarcc2,0.308
Actl6b,Smarcd1,0.345
Actl6b,Smarcd2,0.317
Actl6b,Smarcd3,0.317
Actl6b,Smarce1,0.35
Actl6b,Ss18,0.108
Actl6b,Yeats4,0.208
Actn1,Actb,0.054
Actn1,Actg1,0.054
Actn1,Actn4,0.535
Actn1,Ankrd1,0.23
Actn1,Atp6v1a,0.164
Actn1,B9d1,0.292
Actn1,Chrna1,0.292
Actn1,Dag1,0.329
Actn1,Eed,0.292
Actn1,Hspb2,0.292
Actn1,Iqcb1,0.292
Actn1,Micall2,0.056
Actn1,Nphp4,0.292
Actn1,Pcp2,0.292
Actn1,Pdlim1,0.058
Actn1,Pdlim5,0.305
Actn1,Pdlim7,0.059
Actn1,Plek,0.222
Actn1,Prag1,0.292
Actn1,Ptk2,0.243
Actn1,Pygb,0.222
Actn1,Sorbs2,0.292
Actn1,Src,0.208
Actn1,Stam2,0.222
Actn1,Sult2b1,0.292
Actn1,Tjp1,0.222
Actn1,Tln1,0.329
Actn1,Traf6,0.164
Actn1,Zyx,0.222
Actn2,Acta1,0.237
Actn2,Acta2,0.059
Actn2,Appl1,0.222
Actn2,Ar,0.292
Actn2,Atxn2,0.207
Actn2,Camk2a,0.432
Actn2,Camk2b,0.136
Actn2,Camk2d,0.136
Actn2,Grip1,0.292
Actn2,Hmga2,0.292
Actn2,Igsf8,0.222
Actn2,Ldb3,0.292
Actn2,Myh7,0.242
Actn2,Pdlim1,0.058
Actn2,Pdlim5,0.059
Actn2,Pdlim7,0.059
Actn2,Tnni1,0.121
Actn2,Tnni3,0.044
Actn2,Tpm1,0.05
Actn2,Tpm2,0.05
Actn2,Tpm3,0.05
Actn2,Tpm4,0.05
Actn2,Tuba4a,0.222
Actn2,Tulp3,0.222
Actn2,Vcl,0.239
Actn3,Abi3,0.222
Actn3,Fbp1,0.222
Actn3,Myoz1,0.278
Actn3,Nrap,0.292
Actn3,Tnni1,0.044
Actn3,Tnni3,0.044
Actn3,Tpm1,0.05
Actn3,Tpm2,0.05
Actn3,Tpm3,0.05
Actn3,Tpm4,0.05
Actn3,Vcl,0.239
Actn4,Actb,0.23
Actn4,Actg1,0.054
Actn4,Actn1,0.535
Actn4,Atp6v1a,0.164
Actn4,Ctnna1,0.058
Actn4,Ctnnb1,0.061
Actn4,Dhx9,0.231
Actn4,Eed,0.292
Actn4,Hgs,0.209
Actn4,Hsp90ab1,0.215
Actn4,Hspa8,0.218
Actn4,Ilf3,0.3
Actn4,Iqcb1,0.292
Actn4,Iqgap1,0.214
Actn4,Micall2,0.292
Actn4,Mttp,0.13
Actn4,Myoz1,0.161
Actn4,Ncl,0.31
Actn4,P4hb,0.13
Actn4,Pdlim1,0.222
Actn4,Pdlim5,0.059
Actn4,Pdlim7,0.059
Actn4,Raver1,0.23
Actn4,Rpl13a,0.218
Actn4,Sult2b1,0.292
Actn4,Tjp1,0.322
Actn4,Traf6,0.164
Actn4,Trim3,0.226
Actn4,Uchl5,0.216
Actn4,Vcl,0.399
Actn4,Ybx1,0.306
Actr10,4933400A11Rik,0.347
Actr10,Acta1,0.301
Actr10,Actb,0.91
Actr10,Actc1,0.138
Actr10,Actr1a,0.953
Actr10,Capza1,0.347
Actr10,Capza2,0.259
Actr10,Capza3,0.259
Actr10,Capzb,0.558
Actr10,Dctn1,0.573
Actr10,Dctn2,0.934
Actr10,Dctn3,0.639
Actr10,Dctn4,0.958
Actr10,Dctn5,0.941
Actr10,Dctn6,0.968
Actr10,Dync1h1,0.267
Actr10,Dync1i1,0.249
Actr10,Dync1i2,0.403
Actr10,Dync1li1,0.157
Actr10,Dync1li2,0.267
Actr10,Eed,0.292
Actr10,Lmnb1,0.222
Actr10,Myo19,0.074
Actr10,Nagk,0.222
Actr10,Rabep1,0.329
Actr1a,4933400A11Rik,0.383
Actr1a,Actb,0.908
Actr1a,Actg1,0.117
Actr1a,Actr10,0.953
Actr1a,Bcl2,0.292
Actr1a,Capza1,0.383
Actr1a,Capza2,0.231
Actr1a,Capza3,0.231
Actr1a,Capzb,0.558
Actr1a,Dctn1,0.572
Actr1a,Dctn2,0.951
Actr1a,Dctn3,0.56
Actr1a,Dctn4,0.87
Actr1a,Dctn5,0.86
Actr1a,Dctn6,0.893
Actr1a,Dstn,0.121
Actr1a,Dynlrb1,0.267
Actr1a,Eed,0.292
Actr1a,Huwe1,0.222
Actr1a,Inpp5d,0.292
Actr1a,Iqcb1,0.074
Actr1a,Kcnma1,0.342
Actr1a,Mapt,0.292
Actr1a,Mycbp,0.222
Actr1a,Myo5a,0.121
Actr1a,Myo5b,0.121
Actr1a,Myo5c,0.121
Actr1a,Pls1,0.125
Actr1a,Ppp1r9b,0.292
Actr1a,Smarce1,0.124
Actr1a,Tnik,0.165
Actr1a,Twf1,0.075
Actr1a,Vcl,0.056
Actr1a,Was,0.12
Actr1a,Wasl,0.12
Actr1b,4933400A11Rik,0.298
Actr1b,Actr10,0.545
Actr1b,Actr1a,0.35
Actr1b,Atp6v1a,0.164
Actr1b,Capza1,0.298
Actr1b,Capza2,0.231
Actr1b,Capza3,0.231
Actr1b,Capzb,0.395
Actr1b,Dctn1,0.571
Actr1b,Dctn2,0.534
Actr1b,Dctn3,0.28
Actr1b,Dctn4,0.558
Actr1b,Dctn5,0.331
Actr1b,Dctn6,0.282
Actr1b,Kcnma1,0.342
Actr1b,Myo5a,0.121
Actr1b,Myo5b,0.121
Actr1b,Myo5c,0.121
Actr1b,Rabep1,0.329
Actr2,Acta1,0.202
Actr2,Acta2,0.202
Actr2,Actb,0.351
Actr2,Actc1,0.202
Actr2,Actg1,0.202
Actr2,Actg2,0.202
Actr2,Actr3,0.693
Actr2,Actr3b,0.478
Actr2,Anp32b,0.242
Actr2,Arpc1b,0.635
Actr2,Arpc2,0.705
Actr2,Arpc3,0.866
Actr2,Arpc4,0.865
Actr2,Arpc5,0.693
Actr2,Bag1,0.209
Actr2,Capza1,0.224
Actr2,Capzb,0.121
Actr2,Cct5,0.291
Actr2,Cfl1,0.115
Actr2,Coro1b,0.111
Actr2,Coro1c,0.111
Actr2,Dbn1,0.102
Actr2,Dhps,0.206
Actr2,Eed,0.292
Actr2,Efl1,0.328
Actr2,Gmfg,0.399
Actr2,Grpel1,0.307
Actr2,Hspbp1,0.315
Actr2,Lrrk2,0.457
Actr2,Myh2,0.058
Actr2,Myh9,0.058
Actr2,Myo1c,0.075
Actr2,Myo5a,0.059
Actr2,Nckipsd,0.561
Actr2,Nsun2,0.214
Actr2,Osgep,0.233
Actr2,Rangap1,0.233
Actr2,Rprd1a,0.233
Actr2,Rprd1b,0.307
Actr2,Ruvbl1,0.075
Actr2,Srp9,0.222
Actr2,Tpd52l2,0.303
Actr2,Tpm1,0.058
Actr2,Tprkb,0.253
Actr2,Ufm1,0.233
Actr2,Unk,0.292
Actr2,Wdr4,0.207
Actr3,Actb,0.299
Actr3,Actg1,0.143
Actr3,Actr3b,0.121
Actr3,Anp32b,0.287
Actr3,Arpc1a,0.565
Actr3,Arpc1b,0.565
Actr3,Arpc2,0.691
Actr3,Arpc3,0.691
Actr3,Arpc4,0.69
Actr3,Arpc5,0.646
Actr3,Arpc5l,0.488
Actr3,Capza1,0.237
Actr3,Capzb,0.121
Actr3,Cttn,0.457
Actr3,Eed,0.292
Actr3,Fmn1,0.042
Actr3,Gmfg,0.267
Actr3,Kcnma1,0.292
Actr3,Lrrk2,0.292
Actr3,Myh2,0.058
Actr3,Myh9,0.058
Actr3,Myo1c,0.075
Actr3,Myo5a,0.059
Actr3,Nckipsd,0.407
Actr3,Nsun2,0.211
Actr3,Pou5f1,0.292
Actr3,Ptk2,0.292
Actr3,Rprd1b,0.222
Actr3,Ruvbl1,0.075
Actr3,Tpd52l2,0.307
Actr3,Tprkb,0.242
Actr3,Traf6,0.164
Actr3,Uggt1,0.207
Actr3,Unk,0.292
Actr3,Was,0.335
Actr3,Wasf3,0.329
Actr3,Wipf1,0.051
Actr3b,4933400A11Rik,0.059
Actr3b,Actb,0.143
Actr3b,Actg1,0.143
Actr3b,Actr2,0.478
Actr3b,Actr3,0.121
Actr3b,Arpc1a,0.378
Actr3b,Arpc1b,0.378
Actr3b,Arpc2,0.395
Actr3b,Arpc3,0.478
Actr3b,Arpc4,0.478
Actr3b,Arpc5,0.377
Actr3b,Arpc5l,0.377
Actr3b,Capza1,0.059
Actr3b,Capzb,0.121
Actr3b,Ruvbl1,0.075
Actr3b,Wasl,0.335
Actr5,Actg1,0.057
Actr5,Actl6a,0.213
Actr5,Actr8,0.323
Actr5,Ep400,0.139
Actr5,H2bc1,0.168
Actr5,H2bc11,0.168
Actr5,H2bc12,0.168
Actr5,H2bc14,0.168
